Timestamp,Place,Activity
2025-11-14 22:16:00,Home,unknown
2025-11-14 20:03:49,Home,unknown
2025-11-14 18:22:30,Home,unknown
2025-11-14 15:15:20,My Office,unknown
2025-11-14 12:52:20,My Office,unknown
2025-11-14 09:59:02,My Office,unknown
2025-11-14 07:19:53,Home,unknown
2025-11-14 06:50:39,Home,unknown
2025-11-14 05:43:21,Home,unknown
2025-11-13 23:35:07,Home,unknown
2025-11-13 22:05:04,Home,unknown
2025-11-13 21:15:22,Home,unknown
2025-11-13 20:17:53,Home,unknown
2025-11-13 19:01:22,Home,unknown
2025-11-13 16:12:07,Other,unknown
2025-11-13 15:29:47,My Office,unknown
2025-11-13 14:59:35,My Office,unknown
2025-11-13 13:38:32,My Office,unknown
2025-11-13 12:57:31,My Office,unknown
2025-11-13 12:35:53,Other,unknown
2025-11-13 12:07:11,My Office,unknown
2025-11-13 11:45:22,My Office,unknown
2025-11-13 11:23:34,My Office,unknown
2025-11-13 11:00:41,My Office,unknown
2025-11-13 10:37:52,My Office,unknown
2025-11-13 10:14:03,My Office,unknown
2025-11-13 09:44:51,My Office,unknown
2025-11-13 09:22:08,My Office,unknown
2025-11-13 08:58:56,My Office,unknown
2025-11-13 08:34:48,My Office,unknown
2025-11-13 07:49:39,My Office,unknown
2025-11-13 07:15:44,Home,unknown
2025-11-13 05:59:40,Home,unknown
2025-11-12 23:26:44,Home,unknown
2025-11-12 21:29:55,Home,unknown
2025-11-12 20:47:11,Home,unknown
2025-11-12 20:25:24,Home,unknown
2025-11-12 20:05:11,Home,unknown
2025-11-12 19:37:32,Home,unknown
2025-11-12 19:09:59,Home,unknown
2025-11-12 18:43:02,Home,unknown
2025-11-12 18:18:17,Home,unknown
2025-11-12 17:54:50,Home,unknown
2025-11-12 16:21:21,Other,unknown
2025-11-12 15:36:29,My Office,unknown
2025-11-12 14:52:40,My Office,unknown
2025-11-12 14:11:35,My Office,unknown
2025-11-12 13:08:49,My Office,unknown
